# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
10
BLANK_GEOMS,13
# Name, xLoc, yLoc, zLoc, Mass, GeomID
Passengers,3.215000,0.000000,0.000000,500.000000,AYWKAIHEMY
MotorPropMidRR,5.200000,2.000000,0.600000,25.000000,RVGMNNVEIN
MotorPropMidFL,3.300000,-2.000000,0.600000,25.000000,SVDMEUOLQT
MotorPropMidRL,5.200000,-2.000000,0.600000,25.000000,WTFHNONIYQ
MotorPropMidFR,3.300000,2.000000,0.600000,25.000000,LIQYEGAXES
MotorPropTopR,7.100000,2.220000,1.800000,25.000000,QHKNXKXYIH
MotorPropTopL,7.100000,-2.220000,1.800000,25.000000,CPGHMUORIS
MotorPropBotL,1.600000,-1.500000,-0.300000,25.000000,CUUGEGHWTD
MotorPropBotR,1.600000,1.500000,-0.300000,25.000000,WWAQPXKQHQ
Turbogenerator,4.500000,0.000000,-0.100000,66.300000,CLEWADNDXR
Batteries,1.800000,0.000000,-0.500000,297.000000,ZWZRLDGEMK
R_FW_Motor,4.200000,5.200000,1.750000,25.000000,CTLRMAWIYV
L_FW_Motor,4.200000,-5.200000,1.750000,25.000000,WDUVDRNYQD
# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,COBWICBHMW,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,43,17
# x,y,z,u,w
2.866293347639682354e-01, 2.583574001809460507e-01, -3.709484765670605366e-01, 2.857142857142856984e-01, 5.000000000000000000e-01
2.011730705868093882e-01, 1.580713904160161443e-01, -4.667195302981573812e-01, 2.857142857142856984e-01, 7.500000000000000000e-01
1.663736129068884018e-01, 0.000000000000000000e+00, -4.992211071779195097e-01, 2.857142857142856984e-01, 1.000000000000000000e+00
2.011730705868093882e-01, -1.580713904160161443e-01, -4.667195302981573812e-01, 2.857142857142856984e-01, 1.250000000000000000e+00
2.866293347639681244e-01, -2.583574001809461063e-01, -3.709484765670605366e-01, 2.857142857142856984e-01, 1.500000000000000000e+00
3.943292421444583029e-01, -3.110528235708172051e-01, -2.145084613469133983e-01, 2.857142857142856984e-01, 1.750000000000000000e+00
4.958596294343738942e-01, -3.263524548616569820e-01, -3.236801821064595871e-17, 2.857142857142856984e-01, 2.000000000000000000e+00
5.685711139038887030e-01, -3.108537648788743391e-01, 1.973906291122614065e-01, 2.857142857142856984e-01, 2.250000000000000000e+00
6.128694350794976486e-01, -2.578265770024318337e-01, 3.161714134161743850e-01, 2.857142857142856984e-01, 2.500000000000000000e+00
6.349241130517746523e-01, -1.574742143401875738e-01, 3.742832362310369310e-01, 2.857142857142856984e-01, 2.750000000000000000e+00
6.409046679112950784e-01, -4.754052674688625456e-17, 3.896669808761471510e-01, 2.857142857142856984e-01, 3.000000000000000000e+00
6.349241130517746523e-01, 1.574742143401874350e-01, 3.742832362310369310e-01, 2.857142857142856984e-01, 3.250000000000000000e+00
6.128694350794976486e-01, 2.578265770024316672e-01, 3.161714134161743850e-01, 2.857142857142856984e-01, 3.500000000000000000e+00
5.685711139038887030e-01, 3.108537648788742835e-01, 1.973906291122614065e-01, 2.857142857142856984e-01, 3.750000000000000000e+00
4.958596294343741162e-01, 3.263524548616569820e-01, 0.000000000000000000e+00, 2.857142857142856984e-01, 4.000000000000000000e+00
6.620833850063853054e-01, 3.881002278943664896e-01, 0.000000000000000000e+00, 3.571428571428571508e-01, 0.000000000000000000e+00
5.592838678753458970e-01, 3.734923980873910976e-01, -2.604515932617089136e-01, 3.571428571428571508e-01, 2.500000000000000000e-01
4.502377116525995704e-01, 3.168043294179017089e-01, -4.373245417078222008e-01, 3.571428571428571508e-01, 5.000000000000000000e-01
3.637132441732262578e-01, 1.987391530130530604e-01, -5.380204600136189175e-01, 3.571428571428571508e-01, 7.500000000000000000e-01
3.284787932723062243e-01, 0.000000000000000000e+00, -5.699409628543781192e-01, 3.571428571428571508e-01, 1.000000000000000000e+00
3.637132441732262578e-01, -1.987391530130530604e-01, -5.380204600136189175e-01, 3.571428571428571508e-01, 1.250000000000000000e+00
4.502377116525994039e-01, -3.168043294179018199e-01, -4.373245417078222008e-01, 3.571428571428571508e-01, 1.500000000000000000e+00
